COD_URB,ISO_A3,NAM_1,COD_1,NAM_URB,NAM_0
3931,ESP,Melilla,ESP023,Melilla,Spain
3938,ITA,Lazio,ITA007,Rome,Italy
3943,ZAF,Gauteng,ZAF003,Pretoria,South Africa
3944,RUS,Belgorodskaya Oblast,RUS009,Belgorod,Russia
3952,AFG,Samangan,AFG029,Samangan,Afghanistan
3959,THA,Sakon Nakhon,THA055,Sakon Nakhon,Thailand
3960,IDN,Bengkulu,IDN007,Bengkulu,Indonesia
3968,COL,Atlántico,COL005,Barranquilla,Colombia
3974,ESP,País Vasco/Euskadi,ESP018,Bilbao,Spain
3978,FRA,Rhone-Alpes,FRA023,Lyon,France
3983,AGO,Lunda Norte,AGO012,Lucapa,Angola
3986,ZAF,Gauteng,ZAF003,Centurion,South Africa
3987,RUS,Kostromskaya Oblast,RUS037,Kostroma,Russia
3993,YEM,San`a' [City],YEM019,Sana'a,Yemen
4002,THA,Nakhon Phanom,THA027,Nakhon Phanom,Thailand
4008,USA,California,USA005,Fresno,United States
4012,CAN,Quebec / Québec,CAN011,Quebec,Canada
4013,ARG,Buenos Aires,ARG001,Bahía Blanca,Argentina
4015,MAR,Fès-Meknès,MAR004,Meknes,Morocco
4016,ESP,País Vasco/Euskadi,ESP018,Vitoria-Gasteiz,Spain
4017,GBR,England,GBR002,Bournemouth,United Kingdom
4021,NGA,Osun,NGA030,Oshogbo,Nigeria
4022,DEU,Baden-Wuerttemberg,DEU001,Stuttgart,Germany
4027,TUR,Sakarya,TUR065,Sakarya,Turkey
